ATK Tahtitieteessa kurssin harjoitustyo:
Kirkkaimpien tahtien koordinaatit ja naennainen magnitudi
      RA (deg)     DEC (deg)     VMAG 
      1.291250     45.229168     6.700
      1.265833     -0.503056     6.290
      1.333750     -5.707500     4.610
      1.425000     13.396111     5.510
      1.566667     58.436668     5.960
      1.579167    -49.075001     5.700
      1.610417     64.196114     5.590
      1.653333     29.021389     6.130
      1.708750    -23.107500     6.180
      1.825833    -17.386389     6.190
      1.933750     -2.548889     6.430
      1.945000    -22.508888     5.940
      2.014583    -33.529446     5.680
      2.050417     -2.447778     6.070
      2.097083     29.090557     2.060
      2.072500     -8.823889     5.990
      2.170833     36.626663     6.190
      2.139167    -17.577501     6.060
      2.217500     25.462778     6.230
      2.334167     79.714722     6.010
      2.294583     59.149723     2.270
      2.260000     18.211945     5.530
      2.260000    -54.001945     6.330
      2.337500    -27.987778     5.420
      2.352917    -45.747501     3.880
      2.509583     11.145555     5.510
      2.580417     46.072220     5.030
      2.623750     57.165558     6.740
      2.578333     -5.248611     5.840
      2.508750    -82.223892     5.280
      2.678333    -12.580000     5.850
      2.660833    -73.224442     6.640
      2.816250    -15.468055     4.890
      2.893333    -27.799721     5.410
      2.933333    -35.133053     5.250
      2.996250     48.152500     6.160
      3.041667    -17.938332     5.250
      3.210000     37.693333     6.730
      3.309167     15.183611     2.830
      3.350000     26.987223     6.300
      3.378333     41.035278     5.720
      3.425417    -26.021944     5.940
      3.434167    -26.284721     6.310
      3.509583     33.206112     6.250
      3.650833     20.206667     4.800
      3.615000     -7.780555     5.120
      3.330833    -84.994164     5.770
      3.660000    -18.932777     4.440
      3.733750     22.284166     6.240
      3.745000      8.820833     5.790
      3.727083     -9.569722     5.750
      3.779167     31.535833     6.450
      3.794167     27.283054     6.350
      3.742500    -34.904446     6.170
      4.058333     76.950829     6.350
      4.090000     43.594723     6.150
      4.037083    -31.446388     5.670
      3.980000    -75.911392     6.490
      4.142083      8.240001     6.110
      4.237916     61.533333     5.740
      4.177083    -20.210556     6.470
      4.287917     47.947502     5.890
      4.272917     38.681667     4.610
      4.204167    -78.780556     6.770
      4.429167     51.433056     6.140
      4.385833    -19.051111     6.450
      4.448750      1.688889     6.170
      4.582083     36.785278     4.520
      4.571667     11.205833     6.050
      4.675416     43.791111     6.110
      4.659583     31.517221     5.870
      4.674167     -8.052778     6.460
      4.677500    -43.235279     6.330
      4.857083     -8.823889     3.560
      4.923333     40.729721     6.330
      5.021667     48.865276     6.520
      5.017917    -64.874725     4.230
      5.101666     30.935833     5.900
      5.189583     32.911392     5.790
      5.149583      8.190278     5.370
      5.227083     10.976944     6.560
      5.280416     37.968613     5.180
      5.162500    -69.625000     5.510
      5.380000    -28.981667     5.180
      5.442917    -20.057777     5.120
      5.606250     13.482499     6.230
      5.369167    -77.426941     5.970
      5.715833    -12.209444     6.390
      5.802500    -31.036110     6.550
      6.008333     38.577221     7.390
      6.065000     52.020000     5.570
      6.197917     61.831112     5.400
      6.123750     -2.219167     6.070
      6.276667     53.046944     5.740
      6.350833      1.939722     5.770
      6.437917    -77.254166     2.800
      6.570833    -42.306110     2.390
      6.550833    -43.680000     3.940
      6.655833     -0.049722     6.190
      6.811250    -25.547222     5.980
